interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact
INT-100000,2025-08-12 08:29:31.851880,HR,Intern,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.73,2381,4.0,High
INT-100001,2025-10-08 15:20:31.851905,Operations,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.89,635,2.0,Low
INT-100002,2025-09-21 01:42:31.851909,Finance,Manager,What is customer churn rate?,Marketing,Conversion Rate,Predictive,0.84,557,5.0,nan
INT-100003,2025-09-07 01:43:31.851912,Operations,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Trend Analysis,0.76,2499,4.0,nan
INT-100004,2025-09-17 20:17:31.851914,Operations,Executive,Which campaign had highest ROI?,Marketing,Conversion Rate,Predictive,0.98,334,2.0,High
INT-100005,2025-10-19 16:01:31.851919,Marketing,Executive,Compare sales performance by region,Finance,Conversion Rate,Descriptive,0.89,722,4.0,Medium
INT-100006,2025-04-06 03:06:31.851921,Finance,Executive,Compare sales performance by region,Finance,Conversion Rate,Predictive,0.62,1003,4.0,Medium
INT-100007,2025-11-16 06:09:31.851925,Finance,Analyst,Which campaign had highest ROI?,Revenue,Profit Margin,Trend Analysis,0.89,279,1.0,Low
INT-100008,2025-09-11 12:04:31.851933,Finance,Intern,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.61,1676,3.0,nan
INT-100009,2026-01-07 14:22:31.851936,Operations,Analyst,Which campaign had highest ROI?,Sales,ROI,Trend Analysis,0.85,2240,,nan
INT-100010,2026-01-11 22:22:31.851938,HR,Manager,Compare sales performance by region,Customer,Conversion Rate,Trend Analysis,0.68,567,1.0,Low
INT-100011,2025-04-06 07:32:31.851940,Finance,Intern,Forecast next quarter revenue,Finance,Churn Rate,Descriptive,0.87,1206,4.0,Medium
INT-100012,2025-12-17 19:15:31.851942,Operations,Executive,Show monthly revenue trend,Marketing,Revenue,Trend Analysis,0.72,1192,5.0,High
